rebalance_date,ticker,weight,strategy
2021-01-04,ABBV,0.024216504040444002,Coverage-aware sentiment tilt
2021-01-04,ABT,0.03238382435690723,Coverage-aware sentiment tilt
2021-01-04,ADBE,0.0217399095968459,Coverage-aware sentiment tilt
2021-01-04,AEP,0.02326278139429299,Coverage-aware sentiment tilt
2021-01-04,AMD,0.01826231333821196,Coverage-aware sentiment tilt
2021-01-04,AMGN,0.032491110212159745,Coverage-aware sentiment tilt
2021-01-04,AMT,0.01616406020732215,Coverage-aware sentiment tilt
2021-01-04,BA,0.007790697582945484,Coverage-aware sentiment tilt
2021-01-04,CAT,0.01770339684189364,Coverage-aware sentiment tilt
2021-01-04,CCI,0.015388834126754,Coverage-aware sentiment tilt
2021-01-04,CMCSA,0.01622621644049517,Coverage-aware sentiment tilt
2021-01-04,COP,0.009066597911441631,Coverage-aware sentiment tilt
2021-01-04,CVX,0.011055942785052555,Coverage-aware sentiment tilt
2021-01-04,D,0.023106087831283633,Coverage-aware sentiment tilt
2021-01-04,DD,0.01938603634761451,Coverage-aware sentiment tilt
2021-01-04,DIS,0.018030352349986446,Coverage-aware sentiment tilt
2021-01-04,DOW,0.010777994651334352,Coverage-aware sentiment tilt
2021-01-04,DUK,0.023652738109649983,Coverage-aware sentiment tilt
2021-01-04,EA,0.042780097547120276,Coverage-aware sentiment tilt
2021-01-04,GE,0.013444557136244057,Coverage-aware sentiment tilt
2021-01-04,GILD,0.04076823016019391,Coverage-aware sentiment tilt
2021-01-04,GS,0.009762770908641952,Coverage-aware sentiment tilt
2021-01-04,INTC,0.018441020778526683,Coverage-aware sentiment tilt
2021-01-04,KO,0.0247669026389543,Coverage-aware sentiment tilt
2021-01-04,MMM,0.020242109702059224,Coverage-aware sentiment tilt
2021-01-04,MRK,0.023942848935821236,Coverage-aware sentiment tilt
2021-01-04,MS,0.0098161172489118,Coverage-aware sentiment tilt
2021-01-04,NEE,0.03581186836113197,Coverage-aware sentiment tilt
2021-01-04,NEM,0.03394772891509742,Coverage-aware sentiment tilt
2021-01-04,NKE,0.023897171210748216,Coverage-aware sentiment tilt
2021-01-04,NUE,0.014234176521161485,Coverage-aware sentiment tilt
2021-01-04,NVDA,0.014676465794531687,Coverage-aware sentiment tilt
2021-01-04,O,0.016931794236126,Coverage-aware sentiment tilt
2021-01-04,OXY,0.007036131482571488,Coverage-aware sentiment tilt
2021-01-04,PLD,0.013375698800187383,Coverage-aware sentiment tilt
2021-01-04,PSA,0.019376963230626015,Coverage-aware sentiment tilt
2021-01-04,QCOM,0.019378163166881925,Coverage-aware sentiment tilt
2021-01-04,SBUX,0.02246627005213183,Coverage-aware sentiment tilt
2021-01-04,SHW,0.01932147336700968,Coverage-aware sentiment tilt
2021-01-04,SLB,0.011829223932606705,Coverage-aware sentiment tilt
2021-01-04,SO,0.017149004405948274,Coverage-aware sentiment tilt
2021-01-04,T,0.015944225595395052,Coverage-aware sentiment tilt
2021-01-04,TMUS,0.01832017987127671,Coverage-aware sentiment tilt
2021-01-04,TTWO,0.03075623581743462,Coverage-aware sentiment tilt
2021-01-04,UPS,0.025694886642248695,Coverage-aware sentiment tilt
2021-01-04,USB,0.012883112569243911,Coverage-aware sentiment tilt
2021-01-04,V,0.0189022734064934,Coverage-aware sentiment tilt
2021-01-04,WFC,0.01728573778574249,Coverage-aware sentiment tilt
2021-01-04,WMT,0.035010024899629566,Coverage-aware sentiment tilt
2021-01-04,XOM,0.011101136754666523,Coverage-aware sentiment tilt
2021-02-01,ABBV,0.0353560009830691,Coverage-aware sentiment tilt
2021-02-01,ABT,0.020959359757201486,Coverage-aware sentiment tilt
